sin^{2}(2theta_{23})	|Delta m^{2}_{32}|	Delta chi^{2}
0.950	0.00210	7.97
0.950	0.00215	6.40
0.950	0.00220	5.04
0.950	0.00225	3.91
0.950	0.00230	3.01
0.950	0.00235	2.34
0.950	0.00240	1.90
0.950	0.00245	1.69
0.950	0.00250	1.70
0.950	0.00255	1.92
0.950	0.00260	2.34
0.950	0.00265	2.96
0.950	0.00270	3.77
0.950	0.00275	4.75
0.950	0.00280	5.91
0.950	0.00285	7.24
0.950	0.00290	8.74
0.950	0.00295	10.39
0.950	0.00300	12.19
0.955	0.00200	11.39
0.955	0.00205	9.41
0.955	0.00210	7.63
0.955	0.00215	6.07
0.955	0.00220	4.72
0.955	0.00225	3.60
0.955	0.00230	2.71
0.955	0.00235	2.05
0.955	0.00240	1.62
0.955	0.00245	1.42
0.955	0.00250	1.44
0.955	0.00255	1.67
0.955	0.00260	2.10
0.955	0.00265	2.73
0.955	0.00270	3.54
0.955	0.00275	4.53
0.955	0.00280	5.69
0.955	0.00285	7.01
0.955	0.00290	8.50
0.955	0.00295	10.15
0.955	0.00300	11.96
0.960	0.00200	11.05
0.960	0.00205	9.07
0.960	0.00210	7.30
0.960	0.00215	5.75
0.960	0.00220	4.41
0.960	0.00225	3.30
0.960	0.00230	2.42
0.960	0.00235	1.78
0.960	0.00240	1.36
0.960	0.00245	1.18
0.960	0.00250	1.21
0.960	0.00255	1.44
0.960	0.00260	1.88
0.960	0.00265	2.51
0.960	0.00270	3.33
0.960	0.00275	4.32
0.960	0.00280	5.48
0.960	0.00285	6.80
0.960	0.00290	8.29
0.960	0.00295	9.94
0.960	0.00300	11.73
0.965	0.00200	10.71
0.965	0.00205	8.75
0.965	0.00210	6.98
0.965	0.00215	5.44
0.965	0.00220	4.11
0.965	0.00225	3.01
0.965	0.00230	2.15
0.965	0.00235	1.52
0.965	0.00240	1.12
0.965	0.00245	0.95
0.965	0.00250	0.99
0.965	0.00255	1.24
0.965	0.00260	1.69
0.965	0.00265	2.32
0.965	0.00270	3.14
0.965	0.00275	4.13
0.965	0.00280	5.29
0.965	0.00285	6.61
0.965	0.00290	8.10
0.965	0.00295	9.74
0.965	0.00300	11.53
0.970	0.00200	10.39
0.970	0.00205	8.43
0.970	0.00210	6.68
0.970	0.00215	5.14
0.970	0.00220	3.83
0.970	0.00225	2.75
0.970	0.00230	1.90
0.970	0.00235	1.29
0.970	0.00240	0.90
0.970	0.00245	0.74
0.970	0.00250	0.80
0.970	0.00255	1.05
0.970	0.00260	1.51
0.970	0.00265	2.15
0.970	0.00270	2.97
0.970	0.00275	3.97
0.970	0.00280	5.12
0.970	0.00285	6.45
0.970	0.00290	7.92
0.970	0.00295	9.56
0.970	0.00300	11.34
0.975	0.00200	10.08
0.975	0.00205	8.13
0.975	0.00210	6.39
0.975	0.00215	4.87
0.975	0.00220	3.57
0.975	0.00225	2.50
0.975	0.00230	1.66
0.975	0.00235	1.07
0.975	0.00240	0.70
0.975	0.00245	0.55
0.975	0.00250	0.62
0.975	0.00255	0.89
0.975	0.00260	1.36
0.975	0.00265	2.01
0.975	0.00270	2.83
0.975	0.00275	3.83
0.975	0.00280	4.98
0.975	0.00285	6.30
0.975	0.00290	7.77
0.975	0.00295	9.40
0.975	0.00300	11.18
0.980	0.00200	9.78
0.980	0.00205	7.84
0.980	0.00210	6.11
0.980	0.00215	4.60
0.980	0.00220	3.32
0.980	0.00225	2.27
0.980	0.00230	1.45
0.980	0.00235	0.87
0.980	0.00240	0.52
0.980	0.00245	0.39
0.980	0.00250	0.47
0.980	0.00255	0.76
0.980	0.00260	1.23
0.980	0.00265	1.89
0.980	0.00270	2.72
0.980	0.00275	3.71
0.980	0.00280	4.86
