sin^{2}(2theta_{23})	|Delta m^{2}_{32}|	Delta chi^{2}
0.930	0.00240	5.72
0.930	0.00245	5.41
0.930	0.00250	5.32
0.930	0.00255	5.46
0.930	0.00260	5.80
0.930	0.00265	6.36
0.930	0.00270	7.11
0.930	0.00275	8.05
0.930	0.00280	9.18
0.930	0.00285	10.48
0.930	0.00290	11.95
0.930	0.00295	13.59
0.930	0.00300	15.38
0.935	0.00200	15.59
0.935	0.00205	13.57
0.935	0.00210	11.74
0.935	0.00215	10.11
0.935	0.00220	8.69
0.935	0.00225	7.49
0.935	0.00230	6.50
0.935	0.00235	5.74
0.935	0.00240	5.21
0.935	0.00245	4.90
0.935	0.00250	4.82
0.935	0.00255	4.96
0.935	0.00260	5.32
0.935	0.00265	5.88
0.935	0.00270	6.63
0.935	0.00275	7.58
0.935	0.00280	8.71
0.935	0.00285	10.02
0.935	0.00290	11.49
0.935	0.00295	13.13
0.935	0.00300	14.92
0.940	0.00200	15.07
0.940	0.00205	13.05
0.940	0.00210	11.22
0.940	0.00215	9.59
0.940	0.00220	8.17
0.940	0.00225	6.97
0.940	0.00230	5.99
0.940	0.00235	5.23
0.940	0.00240	4.71
0.940	0.00245	4.41
0.940	0.00250	4.34
0.940	0.00255	4.49
0.940	0.00260	4.85
0.940	0.00265	5.41
0.940	0.00270	6.17
0.940	0.00275	7.12
0.940	0.00280	8.26
0.940	0.00285	9.57
0.940	0.00290	11.05
0.940	0.00295	12.69
0.940	0.00300	14.49
0.945	0.00200	14.55
0.945	0.00205	12.53
0.945	0.00210	10.70
0.945	0.00215	9.08
0.945	0.00220	7.66
0.945	0.00225	6.46
0.945	0.00230	5.49
0.945	0.00235	4.74
0.945	0.00240	4.23
0.945	0.00245	3.94
0.945	0.00250	3.87
0.945	0.00255	4.03
0.945	0.00260	4.39
0.945	0.00265	4.96
0.945	0.00270	5.73
0.945	0.00275	6.68
0.945	0.00280	7.82
0.945	0.00285	9.14
0.945	0.00290	10.62
0.945	0.00295	12.26
0.945	0.00300	14.06
0.950	0.00200	14.04
0.950	0.00205	12.02
0.950	0.00210	10.19
0.950	0.00215	8.57
0.950	0.00220	7.16
0.950	0.00225	5.97
0.950	0.00230	5.00
0.950	0.00235	4.26
0.950	0.00240	3.76
0.950	0.00245	3.48
0.950	0.00250	3.42
0.950	0.00255	3.58
0.950	0.00260	3.95
0.950	0.00265	4.53
0.950	0.00270	5.30
0.950	0.00275	6.26
0.950	0.00280	7.40
0.950	0.00285	8.72
0.950	0.00290	10.20
0.950	0.00295	11.85
0.950	0.00300	13.65
0.955	0.00200	13.53
0.955	0.00205	11.51
0.955	0.00210	9.69
0.955	0.00215	8.08
0.955	0.00220	6.67
0.955	0.00225	5.49
0.955	0.00230	4.53
0.955	0.00235	3.80
0.955	0.00240	3.30
0.955	0.00245	3.03
0.955	0.00250	2.98
0.955	0.00255	3.16
0.955	0.00260	3.54
0.955	0.00265	4.12
0.955	0.00270	4.90
0.955	0.00275	5.86
0.955	0.00280	7.00
0.955	0.00285	8.32
0.955	0.00290	9.81
0.955	0.00295	11.45
0.955	0.00300	13.26
0.960	0.00200	13.03
0.960	0.00205	11.02
0.960	0.00210	9.20
0.960	0.00215	7.59
0.960	0.00220	6.19
0.960	0.00225	5.02
0.960	0.00230	4.07
0.960	0.00235	3.35
0.960	0.00240	2.86
0.960	0.00245	2.61
0.960	0.00250	2.57
0.960	0.00255	2.75
0.960	0.00260	3.14
0.960	0.00265	3.73
0.960	0.00270	4.51
0.960	0.00275	5.48
0.960	0.00280	6.62
0.960	0.00285	7.94
0.960	0.00290	9.43
0.960	0.00295	11.08
0.960	0.00300	12.88
0.965	0.00200	12.53
0.965	0.00205	10.52
0.965	0.00210	8.71
0.965	0.00215	7.11
0.965	0.00220	5.72
0.965	0.00225	4.56
0.965	0.00230	3.62
0.965	0.00235	2.92
0.965	0.00240	2.44
0.965	0.00245	2.20
0.965	0.00250	2.17
0.965	0.00255	2.36
0.965	0.00260	2.76
0.965	0.00265	3.36
0.965	0.00270	4.15
0.965	0.00275	5.12
0.965	0.00280	6.27
0.965	0.00285	7.59
0.965	0.00290	9.07
0.965	0.00295	10.72
0.965	0.00300	12.52
0.970	0.00200	12.04
0.970	0.00205	10.04
0.970	0.00210	8.24
0.970	0.00215	6.64
0.970	0.00220	5.27
0.970	0.00225	4.11
0.970	0.00230	3.19
0.970	0.00235	2.50
0.970	0.00240	2.04
0.970	0.00245	1.81
0.970	0.00250	1.80
0.970	0.00255	2.00
0.970	0.00260	2.41
0.970	0.00265	3.02
0.970	0.00270	3.81
0.970	0.00275	4.78
0.970	0.00280	5.93
0.970	0.00285	7.25
0.970	0.00290	8.74
0.970	0.00295	10.38
0.970	0.00300	12.18
0.975	0.00200	11.55
0.975	0.00205	9.56
0.975	0.00210	7.77
0.975	0.00215	6.18
0.975	0.00220	4.82
0.975	0.00225	3.68
0.975	0.00230	2.78
0.975	0.00235	2.10
0.975	0.00240	1.66
0.975	0.00245	1.45
0.975	0.00250	1.45
0.975	0.00255	1.67
0.975	0.00260	2.09
0.975	0.00265	2.70
0.975	0.00270	3.50
0.975	0.00275	4.48
0.975	0.00280	5.63
0.975	0.00285	6.95
0.975	0.00290	8.43
0.975	0.00295	10.07
0.975	0.00300	11.86
0.980	0.00200	11.07
0.980	0.00205	9.08
0.980	0.00210	7.30
0.980	0.00215	5.74
0.980	0.00220	4.39
0.980	0.00225	3.27
0.980	0.00230	2.38
0.980	0.00235	1.73
0.980	0.00240	1.31
0.980	0.00245	1.11
0.980	0.00250	1.13
0.980	0.00255	1.36
0.980	0.00260	1.79
0.980	0.00265	2.41
0.980	0.00270	3.22
0.980	0.00275	4.20
0.980	0.00280	5.35
0.980	0.00285	6.67
0.980	0.00290	8.15
0.980	0.00295	9.78
0.980	0.00300	11.57
0.985	0.00200	10.59
0.985	0.00205	8.61
0.985	0.00210	6.85
0.985	0.00215	5.30
0.985	0.00220	3.97
0.985	0.00225	2.87
0.985	0.00230	2.00
0.985	0.00235	1.37
0.985	0.00240	0.97
0.985	0.00245	0.80
0.985	0.00250	0.84
0.985	0.00255	1.08
0.985	0.00260	1.52
0.985	0.00265	2.16
0.985	0.00270	2.97
0.985	0.00275	3.95
0.985	0.00280	5.10
0.985	0.00285	6.42
0.985	0.00290	7.89
0.985	0.00295	9.52
0.985	0.00300	11.30
0.990	0.00200	10.10
0.990	0.00205	8.14
0.990	0.00210	6.40
0.990	0.00215	4.87
0.990	0.00220	3.56
0.990	0.00225	2.48
0.990	0.00230	1.64
0.990	0.00235	1.04
0.990	0.00240	0.66
0.990	0.00245	0.51
0.990	0.00250	0.57
0.990	0.00255	0.84
0.990	0.00260	1.30
0.990	0.00265	1.94
0.990	0.00270	2.76
0.990	0.00275	3.75
0.990	0.00280	4.90
0.990	0.00285	6.21
0.990	0.00290	7.67
0.990	0.00295	9.30
0.990	0.00300	11.07
0.995	0.00200	9.60
0.995	0.00205	7.66
0.995	0.00210	5.94
0.995	0.00215	4.43
0.995	0.00220	3.15
0.995	0.00225	2.10
0.995	0.00230	1.30
0.995	0.00235	0.72
0.995	0.00240	0.38
0.995	0.00245	0.26
0.995	0.00250	0.35
0.995	0.00255	0.63
0.995	0.00260	1.11
0.995	0.00265	1.77
0.995	0.00270	2.59
0.995	0.00275	3.58
0.995	0.00280	4.73
0.995	0.00285	6.04
0.995	0.00290	7.49
0.995	0.00295	9.10
0.995	0.00300	10.86
1.000	0.00200	8.95
1.000	0.00205	7.04
1.000	0.00210	5.35
1.000	0.00215	3.88
1.000	0.00220	2.65
1.000	0.00225	1.65
1.000	0.00230	0.89
1.000	0.00235	0.37
1.000	0.00240	0.08
1.000	0.00245	0.00
1.000	0.00250	0.13
1.000	0.00255	0.46
1.000	0.00260	0.97
1.000	0.00265	1.64
1.000	0.00270	2.48
1.000	0.00275	3.47
1.000	0.00280	4.62
1.000	0.00285	5.91
1.000	0.00290	7.35
1.000	0.00295	8.94
1.000	0.00300	10.67
