sin^{2}(2theta_{23})	|Delta m^{2}_{32}|	Delta chi^{2}
0.900	0.00200	19.35
0.900	0.00205	17.37
0.900	0.00210	15.57
0.900	0.00215	13.96
0.900	0.00220	12.54
0.900	0.00225	11.34
0.900	0.00230	10.34
0.900	0.00235	9.57
0.900	0.00240	9.01
0.900	0.00245	8.68
0.900	0.00250	8.56
0.900	0.00255	8.67
0.900	0.00260	8.99
0.900	0.00265	9.51
0.900	0.00270	10.23
0.900	0.00275	11.15
0.900	0.00280	12.24
0.900	0.00285	13.52
0.900	0.00290	14.96
0.900	0.00295	16.56
0.900	0.00300	18.32
0.905	0.00200	18.80
0.905	0.00205	16.82
0.905	0.00210	15.01
0.905	0.00215	13.39
0.905	0.00220	11.97
0.905	0.00225	10.76
0.905	0.00230	9.77
0.905	0.00235	8.99
0.905	0.00240	8.44
0.905	0.00245	8.11
0.905	0.00250	8.00
0.905	0.00255	8.11
0.905	0.00260	8.43
0.905	0.00265	8.96
0.905	0.00270	9.68
0.905	0.00275	10.60
0.905	0.00280	11.70
0.905	0.00285	12.99
0.905	0.00290	14.43
0.905	0.00295	16.04
0.905	0.00300	17.80
0.910	0.00200	18.26
0.910	0.00205	16.27
0.910	0.00210	14.45
0.910	0.00215	12.83
0.910	0.00220	11.41
0.910	0.00225	10.20
0.910	0.00230	9.20
0.910	0.00235	8.43
0.910	0.00240	7.88
0.910	0.00245	7.55
0.910	0.00250	7.44
0.910	0.00255	7.55
0.910	0.00260	7.88
0.910	0.00265	8.41
0.910	0.00270	9.14
0.910	0.00275	10.07
0.910	0.00280	11.18
0.910	0.00285	12.46
0.910	0.00290	13.92
0.910	0.00295	15.53
0.910	0.00300	17.30
0.915	0.00200	17.72
0.915	0.00205	15.72
0.915	0.00210	13.90
0.915	0.00215	12.27
0.915	0.00220	10.85
0.915	0.00225	9.64
0.915	0.00230	8.64
0.915	0.00235	7.87
0.915	0.00240	7.32
0.915	0.00245	7.00
0.915	0.00250	6.89
0.915	0.00255	7.01
0.915	0.00260	7.34
0.915	0.00265	7.88
0.915	0.00270	8.62
0.915	0.00275	9.55
0.915	0.00280	10.66
0.915	0.00285	11.95
0.915	0.00290	13.41
0.915	0.00295	15.03
0.915	0.00300	16.80
0.920	0.00200	17.18
0.920	0.00205	15.17
0.920	0.00210	13.35
0.920	0.00215	11.72
0.920	0.00220	10.30
0.920	0.00225	9.09
0.920	0.00230	8.09
0.920	0.00235	7.32
0.920	0.00240	6.78
0.920	0.00245	6.45
0.920	0.00250	6.36
0.920	0.00255	6.48
0.920	0.00260	6.82
0.920	0.00265	7.36
0.920	0.00270	8.10
0.920	0.00275	9.03
0.920	0.00280	10.15
0.920	0.00285	11.45
0.920	0.00290	12.91
0.920	0.00295	14.54
0.920	0.00300	16.32
0.925	0.00200	16.65
0.925	0.00205	14.63
0.925	0.00210	12.81
0.925	0.00215	11.18
0.925	0.00220	9.76
0.925	0.00225	8.55
0.925	0.00230	7.55
0.925	0.00235	6.78
0.925	0.00240	6.24
0.925	0.00245	5.93
0.925	0.00250	5.83
0.925	0.00255	5.96
0.925	0.00260	6.30
0.925	0.00265	6.85
0.925	0.00270	7.60
0.925	0.00275	8.54
0.925	0.00280	9.66
0.925	0.00285	10.96
0.925	0.00290	12.43
0.925	0.00295	14.06
0.925	0.00300	15.84
0.930	0.00200	16.12
0.930	0.00205	14.10
0.930	0.00210	12.27
0.930	0.00215	10.64
0.930	0.00220	9.22
0.930	0.00225	8.01
0.930	0.00230	7.02
0.930	0.00235	6.26
